127.0.0.1 - - [10/Jun/2022:17:08:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11111
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/css/floating.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/css/article.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/images/mainImage/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:44 +0900] "GET /test/images/mainImage/19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:45 +0900] "GET /test/images/favicon.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:46 +0900] "GET /test/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:47 +0900] "GET /test/loginAction.jsp?ID=gildong%40gmail.com&PASSWORD=1111 HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:47 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11766
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:47 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:47 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:47 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:49 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:49 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:49 +0900] "GET /test/css/myinfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:49 +0900] "GET /test/css/write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:58 +0900] "POST /test/myInfoReviseAction.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:59 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:08:59 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:43 +0900] "GET /test/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:43 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11766
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:44 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:44 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:44 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:45 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:45 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:11:51 +0900] "POST /test/myInfoReviseAction.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:12:02 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [10/Jun/2022:17:12:03 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
